scenario,n_loans,total_balance,total_ecl,portfolio_ecl_rate,mean_pd,mean_lgd,mean_loan_ecl,median_loan_ecl
Baseline,3804801,693807569000.0,115562224303.6098,0.16656235744180792,0.13003142138197363,0.3786705134919961,30372.738102100426,28367.20555899655
Severely Adverse,3804801,693807569000.0,221864575943.29843,0.31977825820360634,0.3248367797819225,0.49223895770366394,58311.74243890769,55995.6696633098
Weighted (60/40),3804801,693807569000.0,158083164959.48526,0.2278487177465273,0.13003142138197363,0.3786705134919961,,
