ltv_bucket,count,defaults,balance,ecl,avg_pd,avg_lgd,default_rate,ecl_rate
<60,963200,72393,157370938000.0,16571174575.959959,0.09583074483190293,0.30894477854128344,0.07515884551495017,0.10530009407429444
60-70,630116,97054,122424882000.0,20632041075.70212,0.13229547085141383,0.38326925039019166,0.15402560798329196,0.16852816795610326
70-80,1652955,251425,319596396000.0,62078258114.14496,0.12654261114045956,0.43792582758720927,0.15210637918152642,0.19423954365913737
80-90,357833,80411,59638010000.0,10474482574.000475,0.21359714949044503,0.3173703580193219,0.22471655772385443,0.175634340817215
90+,200697,46660,34777343000.0,5806267963.802263,0.16680202086311122,0.3201292349884959,0.23248977314060498,0.16695547914060782
