simulation_id,portfolio_loss,loss_rate
0,48862308773.49539,0.07042631265023774
1,64813782508.56458,0.09341752007978538
2,65049703439.55563,0.09375755806947046
3,49547875924.99554,0.07141443555654772
4,54067538495.19418,0.07792872391565706
5,33026281647.966263,0.047601500940048495
6,31357572507.57637,0.04519635401610381
7,38915119747.601265,0.056089211888666016
8,33294025295.505646,0.04798740570601306
9,47052665952.99032,0.067818034935549
10,32436819253.401806,0.04675189591856673
11,30650656060.56411,0.044177459903963816
12,52610031106.47708,0.07582798668844888
13,44378388672.97887,0.06396354069319596
14,41046753610.78472,0.05916158232454325
15,30670221325.587433,0.04420565974769213
16,51517772528.87605,0.07425369054870609
17,35676161411.33483,0.051420830508891194
18,56851868890.0943,0.08194184011574872
19,36810699615.41875,0.05305606519755155
20,34335462606.40379,0.04948845204426386
21,30650656060.56411,0.044177459903963816
22,40357758506.6583,0.0581685186352562
23,31787630765.991314,0.04581620637521658
24,43688191872.16869,0.06296874497223695
25,53725088162.24413,0.07743514277262682
26,47825268667.24287,0.06893160409906521
27,46774744165.7688,0.06741746019459871
28,30650656060.56411,0.044177459903963816
29,46350634471.95441,0.06680618163154459
30,42886250187.351006,0.06181288890976484
31,37726857744.109184,0.05437654391474243
32,45862681753.120415,0.06610288472237813
33,39834347304.27516,0.057414114639437096
34,36309717589.24003,0.05233398886318582
35,47476646695.04525,0.06842912763761626
36,47827937940.87304,0.06893545138143778
37,41038097168.92544,0.05914910560585919
38,38558064276.28209,0.05557458004076933
39,30650656060.56411,0.044177459903963816
40,55590973925.229836,0.08012448466850011
41,30650656060.56411,0.044177459903963816
42,30650656060.56411,0.044177459903963816
43,35678318136.454124,0.051423939043902425
44,30650656060.56411,0.044177459903963816
45,68991250552.89363,0.09943859599619564
46,57612587942.95606,0.08303828109859675
47,68913827589.65074,0.09932700458857453
48,45629123267.28546,0.06576625177648568
49,30650656060.56411,0.044177459903963816
50,45180381451.530014,0.06511947039818185
51,44907638046.65831,0.06472635937279363
52,71110320243.2292,0.10249285741538113
53,53531446998.105835,0.07715604353417746
54,61701076118.029,0.08893110838637881
55,47607193822.18967,0.06861728806275054
56,37919383037.37839,0.054654034824140676
57,30650656060.56411,0.044177459903963816
58,45572138554.18522,0.0656841184651089
59,63770547145.57697,0.09191388216979364
60,53864196438.41319,0.07763564256880166
61,48649341646.6351,0.07011935847969267
62,48682893155.11136,0.0701677170015298
63,30650656060.56411,0.044177459903963816
64,46969749588.294846,0.06769852576845388
65,48379229887.049065,0.06973004050212238
66,43843556395.62938,0.0631926752526238
67,49820399952.6014,0.07180723038869212
68,30650656060.56411,0.044177459903963816
69,49117595860.54369,0.07079426350355035
70,49971522131.70828,0.07202504608552099
71,51175308616.02777,0.07376008983267199
72,30650656060.56411,0.044177459903963816
73,43219817472.891174,0.06229366672258252
74,57783634076.936066,0.08328481362666723
75,58861226713.91148,0.08483797142592356
76,30738118731.858093,0.044303521762037876
77,44671442244.26809,0.0643859252049585
78,77374642724.68661,0.11152176220303905
79,44222766366.055305,0.06373923886387481
80,30650656060.56411,0.044177459903963816
81,58506893045.60963,0.08432726257215223
82,34332373751.406013,0.04948400001010369
83,50403954897.6129,0.07264832087413117
84,75541432119.04646,0.10887951572498118
85,34193472100.168976,0.049283798026955476
86,48071335244.559944,0.06928626523035228
87,52804382221.94754,0.07610810919525662
88,38930610568.621765,0.0561115391472787
89,30650656060.56411,0.044177459903963816
90,70500715887.31161,0.10161422134515748
91,42387954449.26044,0.06109468438108152
92,44411263849.757034,0.06401092440338747
93,35672702367.25018,0.051415844913116224
94,72085792519.06975,0.10389882690811311
95,30650656060.56411,0.044177459903963816
96,45636455577.54036,0.06577681999537303
97,34062374800.249844,0.04909484462578678
98,47051477639.99566,0.06781632219408039
99,46029853166.74249,0.06634383253138378
100,30650656060.56411,0.044177459903963816
101,50561891795.37771,0.07287595877377594
102,62553154283.344124,0.0901592272530312
103,38411043856.042625,0.05536267629856691
104,53777633252.14895,0.07751087715814318
105,41748664365.62058,0.0601732616232392
106,46282075242.876175,0.06670736571753395
107,51707318115.734985,0.07452688674218684
108,30665618082.418705,0.0441990249927912
109,53272890147.84494,0.07678337989974414
110,41680961141.92945,0.06007567948848574
111,31308483936.257343,0.04512560158630576
112,30650656060.56411,0.044177459903963816
113,33004792783.023827,0.04757052856975077
114,45097742954.000244,0.06500036172710051
115,50591845610.35722,0.07291913186141274
116,30691156357.827675,0.04423583386682205
117,63496659719.71058,0.09151912224196358
118,41975436080.82937,0.06050011264842423
119,37118054684.845345,0.05349906277088387
120,49200747033.18717,0.07091411110446846
121,47441667901.87876,0.06837871193918722
122,44785597421.1946,0.06455045955428976
123,30650656060.56411,0.044177459903963816
124,63134590856.38717,0.09099726448269285
125,30650656060.56411,0.044177459903963816
126,83189837824.50522,0.11990332988786581
127,35797025006.26124,0.05159503384757862
128,30650656060.56411,0.044177459903963816
129,69490334080.0944,0.1001579359825266
130,30650656060.56411,0.044177459903963816
131,68821721727.1036,0.09919425039755311
132,30650656060.56411,0.044177459903963816
133,68985702297.93849,0.09943059917517057
134,41512991430.39858,0.059833581075271584
135,53380698372.58645,0.0769387662482916
136,43233447163.78533,0.06231331149370227
137,31443439010.104168,0.045320115281279334
138,46876868309.016525,0.06756465395236488
139,43164346007.76139,0.06221371448855063
140,72250450314.41725,0.10413615178420928
141,55963189970.37561,0.08066096778251725
142,30650656060.56411,0.044177459903963816
143,32571483458.49043,0.04694599037804736
144,37405941005.51889,0.053913999611495865
145,42542572024.92,0.06131753806929137
146,30650656060.56411,0.044177459903963816
147,45850035063.72236,0.06608465677278069
148,30650656060.56411,0.044177459903963816
149,30650656060.56411,0.044177459903963816
150,40497292141.50855,0.05836963151018687
151,49368728034.206635,0.07115622578946906
152,40615307109.11766,0.05853972906011589
153,30650656060.56411,0.044177459903963816
154,30971070975.43958,0.04463928091773178
