quarter,pd_multiplier,lgd_multiplier,mean_pd,mean_lgd,quarterly_el,cumulative_el
2025Q1,1.77,1.2268518518518519,0.2301554786869318,0.46457040654157716,16639663281.056786,16639663281.056786
2025Q2,1.96,1.323076923076923,0.25485714735411824,0.5009492222540336,19870090039.256405,36509753320.31319
2025Q3,2.35,1.3990825688073394,0.305466221370388,0.5295065017374146,25183056455.338852,61692809775.65204
2025Q4,2.5199999999999996,1.4559270516717324,0.3274143118566125,0.5506766073889506,28086142628.43758,89778952404.08961
2026Q1,2.4399999999999995,1.4909090909090907,0.31709725712811276,0.5636044258821502,27846324980.96292,117625277385.05254
2026Q2,2.4000000000000004,1.5150602409638554,0.3119311769707603,0.5724810804086465,27830137058.24455,145455414443.2971
2026Q3,2.425,1.5389221556886228,0.31516053297334967,0.5812103285743636,28555353905.24413,174010768348.54123
2026Q4,2.3,1.5149253731343282,0.2989925819324236,0.5724316232470235,26671764027.747105,200682532376.28833
2027Q1,2.2,1.4896142433234423,0.28602763054503516,0.5631273759776798,25092926299.80352,225775458676.09186
2027Q2,2.0999999999999996,1.4690265486725664,0.27304656390337223,0.5555269694523891,23625741399.705612,249401200075.7975
2027Q3,1.9999999999999998,1.4455882352941176,0.2600556962602774,0.5468406256506404,22145300944.621277,271546501020.41876
2027Q4,1.9,1.425438596491228,0.24705775449155815,0.5393455990294355,20747019353.160725,292293520373.57947
2028Q1,1.825,1.4055232558139534,0.23730690609994792,0.5319144601543904,19651207743.15414,311944728116.7336
