fico_bucket,count,defaults,balance,ecl,avg_pd,avg_lgd,default_rate,ecl_rate
<620,193955,66685,31267304000.0,6384696389.513427,0.1399422095754716,0.42167816409979775,0.34381686473666573,0.20419721474910107
620-660,444617,129035,77115200000.0,16779262877.380394,0.18033529488938055,0.40136552147562793,0.29021607360942114,0.21758697218421783
660-700,695077,144555,125652360000.0,27302609628.481472,0.1904359295649544,0.38995420774820605,0.2079697645009114,0.2172868828606281
700-740,743665,103863,139657623000.0,25585700065.48339,0.14653338363843826,0.3779440100650745,0.1396636926573121,0.18320303264422158
740+,1706801,101232,316169085000.0,38944562802.31348,0.08425281559667919,0.36393574044129184,0.05931095657900364,0.1231763782417673
