origination_year,count,defaults,balance,ecl,avg_pd,default_rate,ecl_rate
2004,162495,15609,26211162000.0,3333528749.858923,0.10879517667417844,0.09605834025662328,0.1271797392980488
2005,1445653,173809,252163987000.0,36383597556.69378,0.11864997900355119,0.12022871325276537,0.14428546276393456
2006,1079504,164786,198440035000.0,36832804732.48289,0.13525097625891794,0.1526497354340512,0.18561176293121945
2007,1111457,193508,216209548000.0,38938607933.038445,0.14307472938918034,0.17410300173555973,0.18009661595998733
